playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8474567,2024,Zach Bogosian,MIN,D,4on5,56,6086,135,4.25,0.06,0.09,0.1,0.1,0.12,0.11,124,2.44,0.04,0.14,0.53,0.11,1.11,2.06,0.04,0.04,0.04,0,0,4,0,0,4,0,0,0,0,0,0,1,3,4,4,1,4,0,3,4,3,4,0,0,0.04,0,0,0,0,0,4,4,4,3,0.03,0,0,0.08,0.08,0.08,135,1,68,9,57,3,14,29,89,0,0,6517,4,0,0,0,14.75,0.95,0.9,0.95,0.9,15,5,2,22,0,1,0,17,2,1,0.36,0.33,0.26,0,0,0,22,20,20,0.16,0.18,0.18,0.93,0.93,0.92,109.08,14.8,14.06,14.8,14.06,101,48,47,196,20,13,1,90,39,20,2.58,4.36,7.86,5,5,10,196,149,149,2.37,2.87,2.82,14.35,14.35,13.82,1.32,12.77,20,185,0.02,0,2,0,1,0
8474567,2024,Zach Bogosian,MIN,D,5on4,56,119,10,0.75,0,0.91,0.5,0.87,0,0.86,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,8,2,1,1,6,0,0,3139,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.78,0.01,0.01,0.01,0.01,1,0,0,1,0,0,0,1,0,0,0.01,0,0,0,0,0,1,1,1,0.01,0,0,0.02,0.02,0.02,5.21,0.52,80,12,0,0,0,0,0,0
8474565,2024,Alex Pietrangelo,VGK,D,other,53,3861,28,26.72,0.46,0.73,0.37,0.54,0.39,0.55,78,4.91,0.98,0.34,1.02,0.17,3.09,1.39,0.84,0.98,0.84,0,2,4,3,2,9,3,1,1,0,0,0,4,1,3,6,0,0,0,1,1,6,3,3,1,0.12,0.38,0.49,1,0,0,9,7,7,4,0.1,0.42,0,1.09,1.09,0.92,28,6,9,3,10,2,1,11,14,0,0,1651,0,0,0,8,38.13,14.39,13.69,14.39,13.69,36,18,17,71,13,3,0,20,12,22,0.92,1.59,11.88,2,2,9,71,54,54,0.75,0.97,0.97,14.17,14.17,13.68,60.9,16.7,13.96,16.7,13.96,48,35,38,121,6,8,1,36,21,26,1.41,2.51,12.77,0,1,5,121,83,83,1.48,3.28,3.28,14.9,14.9,12.9,7.77,2.86,45,38,0,0,1,0,0,0
8474565,2024,Alex Pietrangelo,VGK,D,all,53,71852,1370,32.48,0.48,0.58,0.48,0.53,0.5,0.54,93,115.44,5.44,6.49,31.77,3.92,66.88,49.49,5.07,5.4,5.03,10,12,99,65,66,230,25,3,13,0,23,0,50,75,96,161,5,10,0,34,21,81,151,10,3,3.34,1.09,1.02,3,0,0,229.9,164,163.45,52,1.39,2.73,0.14,6.69,6.64,6.25,1370,193,225,218,734,168,150,229,823,0,0,120294,10,8,4,100,664.33,67.66,64.29,67.81,64.45,609,304,312,1225,63,63,7,674,157,82,20.37,19.27,28.02,23,23,17,1232.74,913,917.74,9.43,12.97,12.59,64.5,64.78,62.88,670.77,73.5,67.61,73.8,67.89,556,367,386,1309,68,69,13,663,172,88,18.97,21.26,33.28,21,21,26,1311.31,923,925.71,10.53,17.43,17.43,66.59,66.89,63.45,114.98,82.78,2047,1816,0,0,0,0,0,0
8474565,2024,Alex Pietrangelo,VGK,D,5on5,53,59040,1163,32.48,0.53,0.52,0.52,0.51,0.53,0.52,144,98.15,3.59,5.16,27.66,3.31,57.09,43.19,3.4,3.56,3.36,9,9,81,59,60,200,20,2,12,0,20,0,38,68,79,138,5,10,0,28,16,67,134,5,1,2.89,0.48,0.22,2,0,0,199.9,140,139.45,42,1.04,2.3,0.14,4.49,4.44,4.27,1163,165,144,199,655,154,128,191,690,0,0,105932,10,6,3,75,569.88,48.6,46.5,48.76,46.66,519,263,273,1055,46,56,7,596,131,55,17.8,16.07,14.72,21,17,8,1062.74,782,786.74,7.62,11.47,11.08,45.13,45.4,44.3,496.21,43.05,41.08,43.35,41.37,411,274,283,968,46,47,8,517,123,45,14.49,15.64,12.92,19,16,11,970.31,685,687.71,6.57,9.59,9.78,39.85,40.14,39.35,74.62,69.57,1694,1624,3.78,0.27,73,13,55,13
8474565,2024,Alex Pietrangelo,VGK,D,4on5,53,6202,103,31.18,0.11,0.11,0.1,0.12,0.12,0.12,83,4.52,0.59,0.43,0.88,0.19,1.54,2.38,0.56,0.59,0.56,1,1,5,1,0,6,2,0,0,0,0,0,2,4,5,6,0,0,0,4,2,7,3,2,1,0.05,0.23,0.31,0,0,0,6,6,6,6,0.1,0,0,0.69,0.69,0.66,103,0,68,10,25,3,15,16,69,0,0,3648,0,2,1,1,13.9,1.52,1.5,1.52,1.5,14,5,4,23,3,0,0,12,5,2,0.4,0.51,0.61,0,3,0,23,19,19,0.22,0,0,1.74,1.74,1.71,102.55,12.27,11.38,12.27,11.38,88,53,62,203,15,12,3,101,26,14,2.76,2.87,6.63,2,4,9,203,141,141,2.29,3.88,3.69,10.87,10.87,10.27,0.91,7.16,15,109,0.11,0,4,0,2,0
8474565,2024,Alex Pietrangelo,VGK,D,5on4,53,2749,76,28.45,0.94,0.94,0.9,0.91,0.9,0.9,120,7.86,0.28,0.56,2.22,0.25,5.16,2.54,0.26,0.28,0.26,0,0,9,2,3,14,0,0,0,0,3,0,6,2,9,11,0,0,0,1,2,1,11,0,0,0.28,0,0,0,0,0,14,11,11,0,0.14,0,0,0.43,0.43,0.39,76,22,4,6,44,9,6,11,50,0,0,8230,0,0,0,14,39.29,2.84,2.31,2.84,2.31,38,16,17,71,1,4,0,44,7,3,1.14,0.89,0.82,0,1,0,71,54,54,0.81,0.53,0.53,3.12,3.12,2.85,4.81,0.2,0.19,0.2,0.19,5,1,2,8,0,0,0,5,1,0,0.09,0.1,0,0,0,0,8,6,6,0.04,0,0,0.24,0.24,0.22,25.67,1.68,257,26,0,0,0,0,0,0
8481006,2024,Tyler Tucker,STL,D,other,19,22,0,-0.1,0,0.63,0,0.62,0,0.53,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.27,0.74,18,11,0,0,0,0,0,0
8481006,2024,Tyler Tucker,STL,D,all,19,14782,338,7.28,0.54,0.52,0.55,0.52,0.54,0.52,113,17.98,0.48,0.9,5.93,0.61,10.47,7.61,0.47,0.48,0.48,1,1,19,7,18,44,4,2,1,0,9,0,5,9,17,24,9,30,0,34,6,15,26,0,0,0.48,0,0,2,0,0,43.4,26,25.69,6,0.18,0.25,0,0.66,0.66,0.65,338,21,24,60,233,51,60,37,190,0,0,53918,30,24,6,16,116.44,9.21,8.96,9.21,8.97,103,57,76,236,8,7,1,124,28,8,3.74,3.41,2.06,5,2,1,236.7,160,159.48,1.57,1.59,1.59,9.19,9.2,9.08,100.71,7.99,7.79,7.97,7.78,97,41,54,192,7,7,0,110,17,11,3.01,2.14,2.83,3,2,2,192.67,138,138.6,1.37,1.63,1.63,7.72,7.74,7.69,46.52,42.41,902,824,0,0,0,0,0,0
8481006,2024,Tyler Tucker,STL,D,5on5,19,14380,328,7.28,0.54,0.52,0.56,0.5,0.55,0.51,108,17.98,0.48,0.9,5.93,0.61,10.47,7.61,0.47,0.48,0.48,1,1,19,7,18,44,4,2,1,0,9,0,5,9,17,24,8,28,0,33,6,15,26,0,0,0.48,0,0,2,0,0,43.4,26,25.69,6,0.18,0.25,0,0.66,0.66,0.65,328,20,22,60,226,51,57,36,184,0,0,42671,28,24,6,15,115.63,9.12,8.88,9.13,8.88,102,57,76,235,8,7,1,124,27,8,3.74,3.33,2.06,5,2,1,235.7,159,158.48,1.55,1.59,1.59,9.09,9.1,8.98,96.29,7.79,7.59,7.78,7.59,92,40,51,183,7,7,0,105,16,11,2.93,2.03,2.83,3,2,2,183.67,132,132.6,1.27,1.63,1.63,7.43,7.44,7.4,28.85,26.17,671,667,0.72,0.01,16,3,10,2
